source,target,weight,first_year,last_year
Lusia Rakhmawati,Wiyli Yustanti,4,2020,2023
Elly Matul Imah,Lusia Rakhmawati,1,2023,2023
Lilik Anifah,Sayyidul Aulia Alamsyah,1,2023,2023
Elly Matul Imah,Hasanuddin Al-Habib,1,2023,2023
Hasanuddin Al-Habib,Riskyana Dewi Intan P,1,2023,2023
Fadhilah Qalbi Annisa,Hasanuddin Al-Habib,1,2023,2023
Achmad Kautsar,Riska Dhenabayu,1,2023,2023
Hafid Kholidi Hadi,Hujjatullah Fazlurrahman,1,2023,2023
Hujjatullah Fazlurrahman,Muhammad Fajar Wahyudi Rahman,1,2023,2023
I Gde Agung Sri Sidhimantra,Nurhayati,1,2023,2023
Bachtiar Syaiful Bachri,Bambang Sujatmiko,1,2023,2023
Andi Iwan Nurhidayat,Naim Rochmawati,1,2022,2022
I Made Suartana,Wiyli Yustanti,1,2022,2022
Agus Prihanto,Wiyli Yustanti,2,2018,2022
Aditya Prapanca,Wiyli Yustanti,1,2022,2022
Naim Rochmawati,Wiyli Yustanti,6,2020,2022
I Made Suartana,Nurhayati,1,2022,2022
Ekohariadi,Subuh Isnur Haryudo,5,2019,2022
Lilik Anifah,Subuh Isnur Haryudo,2,2022,2022
Puput Wanarti Rusimamto,Subuh Isnur Haryudo,1,2022,2022
Lilik Anifah,Unit Three Kartini,1,2022,2022
Aditya Chandra Hermawan,Bambang Suprianto,2,2021,2022
Lusia Rakhmawati,Naim Rochmawati,5,2018,2022
Lusia Rakhmawati,Miftahur Rohman,1,2022,2022
Reza Rahmadian,Unit Three Kartini,2,2021,2022
Mahendra Widyartono,Unit Three Kartini,2,2021,2022
Aditya Chandra Hermawan,Unit Three Kartini,2,2021,2022
Joko,Parama Diptya Widayaka,1,2022,2022
Atik Wintarti,Elly Matul Imah,6,2018,2022
Atik Wintarti,Riskyana Dewi Intan P,2,2022,2022
Atik Wintarti,Yuliani Puji Astuti,1,2022,2022
Hujjatullah Fazlurrahman,Ika Diyah Candra Arifah,1,2022,2022
Fresha Kharisma,Hujjatullah Fazlurrahman,1,2022,2022
Bachtiar Syaiful Bachri,Yatim Riyanto,1,2022,2022
Anita Qoiriah,Asmunin,3,2020,2021
Asmunin,Yuni Yamasari,3,2020,2021
Anita Qoiriah,Atik Wintarti,1,2021,2021
Atik Wintarti,Naim Rochmawati,1,2021,2021
Atik Wintarti,Yuni Yamasari,1,2021,2021
